""	Estimate	Std..Error	t.value	Pr...t..
(Intercept)	0.205156785253236	0.0114577507332769	17.9055025745495	1.14653629512605e-71
sex	1.05761965124485	0.000584051355961834	1810.83331191507	0
PC1	-2.88688285506594e-05	8.97688690605386e-05	-0.321590645540947	0.747763015373329
PC2	0.000172101616075313	0.000100955638554483	1.70472514997203	0.0882465469167066
PC3	-0.000289430057485466	0.000136395273218295	-2.12199477779736	0.0338388473602611
PC4	-7.81322012491453e-05	7.05843092785601e-05	-1.10693441712092	0.268323012796595
PC5	0.000168025459459291	5.07090201650567e-05	3.31352210932832	0.000921377686790213
PC6	0.000227928801548955	0.000158220944162657	1.4405728821504	0.149706242798026
PC7	0.000157883411022641	0.000105974457461582	1.48982514092962	0.136271081773143
PC8	1.19538823475165e-05	0.000119576679424785	0.0999683416952184	0.920369514007985
PC9	-8.1091767651294e-05	7.50744828291163e-05	-1.08015086611884	0.280075716709944
PC10	6.01554557444241e-05	0.000150161906500015	0.400603969052685	0.688711957173387
PC11	-1.63267900165706e-05	0.00011993397362208	-0.136131485712442	0.891717412192315
PC12	-0.000231552149062266	0.000154395838701036	-1.49973050446412	0.133685089274134
PC13	-0.000168956240701151	0.000178661793160778	-0.94567639623491	0.344314290333202
PC14	8.20852293326032e-05	0.000100695831058998	0.815180017576989	0.414969805420638
PC15	0.000237844011741724	0.000167757403405347	1.4177854861465	0.156254255403786
PC16	0.000160979295292045	0.000105291592638355	1.52889030603764	0.126292505277854
PC17	-0.00023668209613268	0.000148004580056096	-1.59915386431267	0.109787283079283
PC18	-2.69500403625593e-05	0.000107073231579654	-0.251697272651295	0.801275206780606
PC19	0.000113782185329352	0.000102048758750182	1.11497863102767	0.264860312169207
PC20	4.23252059067435e-05	0.000104697384455374	0.404262304420643	0.686020078600723
PC21	0.000390552054918802	0.000107258058540415	3.64123740662005	0.000271368222348297
PC22	-0.000146963846982938	0.000102885284989893	-1.4284243562855	0.153170607399192
PC23	-0.000199175460657866	0.00010390143674654	-1.91696541351723	0.0552431045632906
PC24	-7.0391192119692e-05	0.000114959356088448	-0.61231372995456	0.540330588315334
PC25	5.08222674834315e-05	0.00010911437518663	0.465770595272207	0.641379992355885
PC26	5.04718823578101e-05	0.00010827242942771	0.466156367087973	0.641103856561171
PC27	0.000174128583552587	0.00010662729636301	1.63305822703944	0.102457612505999
PC28	0.000117959116993116	0.000107021874357639	1.10219632856482	0.270377053612959
PC29	-0.000224228371521226	0.000106873659335524	-2.09806956096894	0.0358996857529785
PC30	-1.68134912486411e-05	0.00010397519764577	-0.1617067495839	0.871536878492563
PC31	0.000105826014087166	0.000106068577427726	0.997713146094327	0.318419137255646
PC32	-7.6539269490853e-05	0.00010888609081886	-0.70292972146628	0.482099995529392
PC33	0.00028382043534756	0.00010522487120572	2.69727519830057	0.00699126748858799
PC34	-1.83210438877572e-05	0.000105004172407987	-0.174479198946229	0.861488973507533
PC35	-4.80703102958209e-05	0.000106660415400565	-0.450685571730546	0.652216450037488
PC36	0.000118853814821111	0.000105912005937616	1.12219397384579	0.261780711563348
PC37	-5.27761530977072e-06	0.000105211370940157	-0.0501620239581571	0.959993301339231
PC38	-0.000151411206384391	0.000105465541777623	-1.43564621991556	0.151103891501124
PC39	-1.19764270560722e-05	0.000105443618544113	-0.113581335897172	0.909569745775573
PC40	-0.00031835663852863	0.000105496633806523	-3.01769475519461	0.00254722851587042
UrineSampleMinutes	-0.000173086773842701	0.000335170227708894	-0.516414524720352	0.605565235861782
DrawTime	-0.00234667550346807	0.000335118208713647	-7.0025305771232	2.5181051079047e-12
DilutionFactorTimeZero	-0.000123304940985402	6.48981588198936e-05	-1.89997595043643	0.0574370620680427
FastingTime	0.00335188534009254	0.00026964607366581	12.4306847658637	1.81072299756232e-35
f.53.0.0_2007.04	0.0128190508111547	0.0136010170846588	0.942506779556501	0.34593386479625
