""	Estimate	Std..Error	t.value	Pr...t..
(Intercept)	1.17012088069629	0.0132135158820161	88.5548472597551	0
PC1	8.53776241462049e-05	0.000109799654375397	0.777576438030537	0.436819764760215
PC2	0.000175460202074165	0.000120240149558983	1.45924803584925	0.144498574659776
PC3	-0.000423951212322597	0.000158521167188774	-2.67441389589151	0.00748666709243476
PC4	-0.000285981982634345	8.07390340729138e-05	-3.54205355461747	0.000397123883506653
PC5	0.000263402092756783	5.82882977107558e-05	4.51895325651581	6.21850728628552e-06
PC6	-0.000129100602659944	0.000183177634139304	-0.704783655857052	0.480945781499559
PC7	0.000152162291413781	0.000122157835007107	1.24562040089306	0.212905389516068
PC8	-5.76340261727017e-05	0.000137687702058798	-0.418585140945191	0.675519843917514
PC9	8.17993037205325e-05	8.63935604788934e-05	0.946821768510359	0.343730862027104
PC10	0.00030176179416612	0.000172290630237476	1.7514695590247	0.0798667415584871
PC11	-0.000139503026840922	0.000137858888495031	-1.01192624112845	0.311574664155914
PC12	-0.000339602486382258	0.000177449479170826	-1.91379815803986	0.0556475148172233
PC13	-0.000176797558766371	0.000206484670036466	-0.856226075936522	0.391873866978012
PC14	8.3720417979648e-05	0.000115761890637085	0.723212255077212	0.469550418465726
PC15	0.000504334324128848	0.000192664528205225	2.61768125574021	0.00885367679027722
PC16	6.76215666377247e-05	0.000120701564118161	0.560237699749494	0.575318003774361
PC17	-0.000359811608813148	0.000170176426823271	-2.11434459830805	0.0344871992977586
PC18	-0.000368735096310948	0.000123056538423099	-2.99646894863192	0.0027316277881819
PC19	2.71556970423789e-05	0.000117233091338331	0.231638496710867	0.816819064473504
PC20	-0.000220534322106929	0.000120543001291126	-1.82950747654203	0.0673252523084241
PC21	0.000158520003007814	0.000123242522966935	1.28624438376958	0.198359418850101
PC22	-0.00012002725239414	0.000117980785773526	-1.01734576191535	0.308990323963753
PC23	-4.17784427595457e-05	0.000119354097033556	-0.350037776648756	0.726310751489941
PC24	-0.000203223901024148	0.000132251205075378	-1.53665065591136	0.124380615799474
PC25	-2.546110781834e-05	0.000125551696879332	-0.202793816819621	0.839296417257173
PC26	-0.000177429420442936	0.000124547705158353	-1.42459004136084	0.154277451836977
PC27	0.000114634705386677	0.000122557963949981	0.935350928589694	0.349608715823061
PC28	7.05399674979576e-05	0.000122846147184946	0.57421391809512	0.565823760420766
PC29	-8.66728566594361e-05	0.000122805546824916	-0.705773142177409	0.480330128580826
PC30	-8.33151037836618e-05	0.000120034212975823	-0.694094639504512	0.487623744331711
PC31	0.000214815869155326	0.000122162969912822	1.75843685945604	0.0786748834837625
PC32	-2.85584146786683e-05	0.000125352647013465	-0.227824584155776	0.819782869280052
PC33	0.000121604450231565	0.000121210948350757	1.00324642192939	0.315743311246646
PC34	1.36409834308043e-05	0.000121147406378632	0.112598229203282	0.910349212963987
PC35	-0.000272142828208012	0.000122386321642612	-2.2236376137091	0.0261740560909614
PC36	0.000186870639395251	0.000121735263207308	1.53505758702818	0.124771418249513
PC37	0.000178619236104463	0.000121069968444095	1.47533891682594	0.14012317526675
PC38	-6.70490117856169e-05	0.000121191064399389	-0.553250457184323	0.580092598831383
PC39	-5.09879374665413e-05	0.000121266632466384	-0.420461395105331	0.674148921034479
PC40	-0.000397047610271492	0.000121173488232877	-3.27668713727568	0.00105052297009886
UrineSampleMinutes	0.000812080235382515	0.000382247091431428	2.12449029328506	0.0336305083788572
DrawTime	-0.00441247319661925	0.000382220351713848	-11.5443177654828	8.08372780269651e-31
DilutionFactorTimeZero	-0.000165983333824838	7.58320697418057e-05	-2.18882768715111	0.0286106301687264
FastingTime	0.00321847153494496	0.000301339507726403	10.6805495211306	1.27824921309394e-26
f.53.0.0_2007.04	0.00761382284004418	0.0155072759451481	0.49098390116843	0.623438424840176
f.53.0.0_2007.05	0.0179665610815251	0.0120648619293504	1.48916425125575	0.136445851458605
f.53.0.0_2007.06	0.00274676739133933	0.0119634109622655	0.229597344770909	0.818404927859771
f.53.0.0_2007.07	0.00643980382239148	0.0117486276938979	0.548132427903579	0.583601646695067
f.53.0.0_2007.08	-0.00037716810618693	0.011545153841986	-0.0326689545543597	0.973938617104078
f.53.0.0_2007.09	0.00552023259671378	0.011559048906939	0.477568063009052	0.632958238887924
f.53.0.0_2007.10	-5.27515518634361e-05	0.0113851924929262	-0.00463334738487835	0.996303141952802
f.53.0.0_2007.11	0.00978327345528849	0.0112425815602121	0.870198130464252	0.384193282998505
f.53.0.0_2007.12	0.00605471618451107	0.0111448156119555	0.543276478976997	0.586940120480969
f.53.0.0_2008.01	0.000811178153102356	0.0110467436933719	0.0734314269995299	0.941462890510154
f.53.0.0_2008.02	0.00333407606636432	0.010998330873704	0.303143822880962	0.761780604418598
f.53.0.0_2008.03	0.0024766757638818	0.0110315412952649	0.224508588382374	0.822361836470948
f.53.0.0_2008.04	0.00042825728400106	0.0109526290699246	0.0391008662182338	0.968810013163642
f.53.0.0_2008.05	-0.00423463196253682	0.0109558064007877	-0.386519422452771	0.699112472115256
f.53.0.0_2008.06	-0.00471463625984353	0.0109659359690604	-0.429934688032607	0.667243659629043
f.53.0.0_2008.07	-0.00867475194443355	0.010918420430638	-0.794506128385703	0.426901876727419
f.53.0.0_2008.08	-0.00485339935184297	0.0109094137843543	-0.444881773464625	0.656405723106249
f.53.0.0_2008.09	-0.0021303156184765	0.0109022503088272	-0.195401459160376	0.845078892109122
f.53.0.0_2008.10	0.000722870200705592	0.010878725906032	0.0664480571483815	0.947021183495338
f.53.0.0_2008.11	0.000674087278515005	0.0108837702853001	0.0619350887463553	0.950614592229563
f.53.0.0_2008.12	0.0029395752231666	0.0109485991551446	0.268488706318683	0.788323470645798
f.53.0.0_2009.01	-0.00473195568693911	0.0109163281526905	-0.433475031233177	0.664670214504028
f.53.0.0_2009.02	0.00283669924184194	0.0108809401016951	0.26070350680453	0.794321455922464
f.53.0.0_2009.03	-0.00304902357814622	0.0108442511229351	-0.281164973365257	0.778584187654153
f.53.0.0_2009.04	-0.00429882463025182	0.0108879602283074	-0.394823689663687	0.692973472332762
f.53.0.0_2009.05	-0.00383775962190817	0.0108635039093237	-0.353270883311817	0.723885780205725
f.53.0.0_2009.06	-0.00417927794929702	0.0108267190618824	-0.386015183862211	0.699485873979587
f.53.0.0_2009.07	-0.00272980176948999	0.0108178002962859	-0.252343516678452	0.800775839157379
f.53.0.0_2009.08	-0.00220499794473166	0.0108005059279043	-0.204156912597474	0.838231108788674
f.53.0.0_2009.09	0.00497247224039027	0.0108115263033927	0.459923243106746	0.645571864463903
f.53.0.0_2009.10	0.00297833858835026	0.010750585692339	0.277039658450671	0.781749968460933
f.53.0.0_2009.11	0.0085973313545306	0.0107421179348705	0.800338574446517	0.423515702138153
f.53.0.0_2009.12	0.00883220651819327	0.0109301178529736	0.80806141681175	0.419056281480223
f.53.0.0_2010.01	0.00822836682102697	0.0108397574788851	0.759091412981802	0.447798856792726
f.53.0.0_2010.02	0.00666307677878676	0.0108352794231621	0.614942773376327	0.53859328115718
f.53.0.0_2010.03	-0.000283071769491911	0.0106334932875716	-0.0266207690959625	0.978762236917948
f.53.0.0_2010.04	-0.00171729887199034	0.0106485523112481	-0.161270642411773	0.871880423207852
f.53.0.0_2010.05	-0.000850805514512077	0.0106297862367732	-0.0800397576734663	0.93620572317544
f.53.0.0_2010.06	-0.00770444088223212	0.010644940856307	-0.72376549444775	0.469210645073971
f.53.0.0_2010.07	-0.00856591560166465	0.0110635967033028	-0.77424329821309	0.438787931704217
f.54.0.0_11001	0.00029469287402761	0.00657846121111233	0.0447966271397656	0.96426946260278
f.54.0.0_11002	0.000422680247697301	0.00674324174193622	0.0626820546961341	0.950019756272617
f.54.0.0_11003	-0.0073745267057332	0.0059724228610041	-1.23476298938642	0.216920316493275
f.54.0.0_11004	0.00864589943058209	0.00623252898726186	1.38722169575989	0.165375867249479
f.54.0.0_11005	0.0105342403560074	0.00610304739535213	1.7260623543625	0.0843378895237739
f.54.0.0_11006	-0.000819001994629396	0.00599266338396176	-0.136667445199959	0.891293813880795
f.54.0.0_11007	0.00739447107593132	0.0057349022325965	1.28938049438786	0.197267474727816
f.54.0.0_11008	0.00860834329529448	0.00583845039276061	1.4744226149405	0.140369565620706
f.54.0.0_11009	0.00202618726966519	0.00576624062174487	0.351387915035025	0.725297753502467
f.54.0.0_11010	0.00755188688329409	0.00569518009756409	1.32601370877176	0.184836817632722
f.54.0.0_11011	0.00274116542848166	0.00554974776231792	0.493926128876312	0.621358945664633
f.54.0.0_11012	0.0183579229440863	0.00603411060198505	3.04235771516138	0.00234766126632537
f.54.0.0_11013	0.0032400150298243	0.00565508071483172	0.572938777217915	0.566686854334195
