""	Estimate	Std..Error	t.value	Pr...t..
(Intercept)	0.291622103327674	0.0186058098499411	15.6737119039512	2.48638954302093e-55
PC1	-0.000121413516903924	0.000138496878192585	-0.876651650841503	0.380677026722271
PC2	0.000162909734789869	0.000159842712592382	1.01918775118205	0.308115188586745
PC3	-0.000198643739146832	0.000221026290914098	-0.898733532220539	0.368795794574006
PC4	0.000129548665790342	0.000115943008223603	1.11734780540194	0.26384711027228
PC5	6.49477927500187e-05	8.26818215192777e-05	0.785514778903073	0.432152826171127
PC6	0.000558682962298108	0.000256055235937455	2.18188454632724	0.0291193228038094
PC7	0.000189468116783034	0.000172267955028461	1.09984539348442	0.271400937810236
PC8	8.39890122838569e-05	0.000194586388005614	0.431628404970618	0.66601201897994
PC9	-0.000234328088690396	0.000122222225074139	-1.9172297718214	0.0552103032085425
PC10	-0.000183007029048451	0.000245231179235547	-0.746263299874569	0.455509335647811
PC11	0.000112547842311565	0.000195463329852264	0.575800291525942	0.564750884835071
PC12	-0.000111816004340919	0.000251662001480458	-0.444310240255326	0.656818824277384
PC13	-0.00012494526387574	0.000289629703442953	-0.431396581187848	0.666180543764338
PC14	9.04283498391248e-05	0.000164083770779093	0.551110871049333	0.581558346772072
PC15	-5.95455293262664e-06	0.000273648412890269	-0.0217598665007218	0.982639532227742
PC16	0.000241536264075562	0.000172083648716173	1.40359799363588	0.160440290526167
PC17	-9.90286867438262e-05	0.000241142444017273	-0.41066468886221	0.681318903672938
PC18	0.000303553144830433	0.000174541302060394	1.73914793373891	0.0820104273127624
PC19	0.000204954654975079	0.000166389950273847	1.23177304060589	0.218035460141145
PC20	0.000303666625805004	0.000170370093488022	1.78239396121687	0.0746866677364874
PC21	0.000606849896504214	0.000174845190762456	3.47078403390963	0.000519060791569803
PC22	-0.000185905819401167	0.000168079251185944	-1.10606049282967	0.26870179177803
PC23	-0.000358594570799996	0.000169448191579207	-2.11624902843754	0.034324980326524
PC24	2.70956561434591e-05	0.000187194006790306	0.144746386959982	0.884911272768237
PC25	0.000127177230132808	0.000177668606692123	0.715811490283086	0.474108670234714
PC26	0.000272766345731198	0.000176330187919464	1.54690668086726	0.121887479832638
PC27	0.000230798434703937	0.000173769464188472	1.32818752582221	0.184117821454603
PC28	0.000159055850358355	0.000174655482824692	0.910683408192832	0.36246340876357
PC29	-0.000383456536193598	0.000174252508156323	-2.20057972336098	0.0277670354895779
PC30	2.57131969623451e-05	0.0001687488616966	0.152375528366976	0.878890925275881
PC31	-2.05760973050138e-05	0.000172545364682455	-0.119250362609747	0.905077138642815
PC32	-0.000134942852975123	0.000177206065162913	-0.761502451121324	0.446357997145689
PC33	0.000447238913064922	0.000171139622365465	2.6132984687196	0.00896802903014914
PC34	-3.13825760424204e-05	0.00017050322469873	-0.184058548440193	0.853967728436222
PC35	0.000176980677072213	0.000174146443974742	1.01627499840239	0.309499795052621
PC36	7.77977991246183e-05	0.0001726009382725	0.45073798499167	0.652178936261401
PC37	-0.000180218300743934	0.000171284718532467	-1.05215632946131	0.292729221653986
PC38	-0.000230996900162381	0.000171921665334121	-1.34361716258071	0.179073883451365
PC39	2.17373355847017e-05	0.000171744082802937	0.126568177662596	0.899282323996953
PC40	-0.000261467133072191	0.00017206173045314	-1.51961236460655	0.128610156850337
UrineSampleMinutes	-0.000997479289950851	0.000550656592859033	-1.8114362070413	0.0700749949927115
DrawTime	-0.000311173430797759	0.000550519343656993	-0.565236143621574	0.57191384893721
DilutionFactorTimeZero	-7.50669690721206e-05	0.000104122020496022	-0.720951905413593	0.470940027267571
FastingTime	0.00381318048567493	0.000454040134525951	8.39833352982365	4.56035484412225e-17
f.53.0.0_2007.04	0.0253151452845633	0.0223645133400257	1.13193365309036	0.257663812838697
f.53.0.0_2007.05	0.0501661549978935	0.0171147999293058	2.9311563795726	0.00337744512356915
f.53.0.0_2007.06	0.027815883656447	0.0169991504347418	1.636310224045	0.101776397797359
f.53.0.0_2007.07	0.0341288689373723	0.0167022676578824	2.04336738198934	0.0410175135743715
f.53.0.0_2007.08	0.0360792010317414	0.0163825640016723	2.20229269533502	0.0276458828725032
f.53.0.0_2007.09	0.0411447687753023	0.0164129691994508	2.5068449392252	0.0121822737431888
f.53.0.0_2007.10	0.0424325662149417	0.0161952326572374	2.62006524469281	0.00879202060692148
f.53.0.0_2007.11	0.0312302039529225	0.0159929814037751	1.95274434231198	0.05085141948777
f.53.0.0_2007.12	0.0353713871409287	0.0160613600297194	2.20226600209937	0.0276477672908316
f.53.0.0_2008.01	0.0338693720742865	0.0158618727737895	2.13526943238714	0.0327403327728246
f.53.0.0_2008.02	0.0296071691781935	0.0156619862625297	1.89038405997245	0.0587081929151461
f.53.0.0_2008.03	0.026852861069147	0.0156421385811647	1.71670011295524	0.0860356724698215
f.53.0.0_2008.04	0.0274992375418447	0.0155550148364338	1.76786957974701	0.0770843761703515
f.53.0.0_2008.05	0.0279138781274402	0.01556690343854	1.79315547486033	0.0729497187823763
f.53.0.0_2008.06	0.0264247730927794	0.0155818222737721	1.69587180680777	0.0899118616521188
f.53.0.0_2008.07	0.0195095525345423	0.015523563237702	1.25677025537279	0.208838444546516
f.53.0.0_2008.08	0.025445278897205	0.0155015397408272	1.64146783626845	0.100702057532809
f.53.0.0_2008.09	0.0237602056443476	0.0154928053863503	1.53362835534493	0.125122837885111
f.53.0.0_2008.10	0.0200032810516869	0.015469471373129	1.29308109948949	0.195984644447195
