l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.00527476104572437	0.0116072348577449	-0.0063324738120205	0.0168819959034692	0.005 (-0.006-0.017)	male
0.01	0.05	0.00124362234051951	0.00608161079646981	-0.0048379884559503	0.00732523313698933	0.001 (-0.005-0.007)	male
0.05	0.1	0.00560488879278804	0.00532284186258811	0.000282046930199929	0.0109277306553761	0.006 (0.000-0.011)	male
0.1	0.15	0.0131153301596261	0.00537410047620185	0.00774122968342429	0.018489430635828	0.013 (0.008-0.018)	male
0.15	0.2	0.00150124269569473	0.00532727164322505	-0.00382602894753032	0.00682851433891977	0.002 (-0.004-0.007)	male
0.2	0.25	0.0119719415034459	0.00548205431981353	0.00648988718363235	0.0174539958232594	0.012 (0.006-0.017)	male
0.25	0.3	0.00249515891819923	0.00547590413895829	-0.00298074522075907	0.00797106305715752	0.002 (-0.003-0.008)	male
0.3	0.35	0.0078865618180264	0.00536638306736291	0.00252017875066349	0.0132529448853893	0.008 (0.003-0.013)	male
0.35	0.4	0.00736143167056629	0.0053986697490762	0.00196276192149009	0.0127601014196425	0.007 (0.002-0.013)	male
0.4	0.45	-0.00545658668313565	0.00545814727245656	-0.0109147339555922	1.5605893209196e-06	-0.005 (-0.011-0.000)	male
0.45	0.5	0.00258414825615268	0.00531878120039492	-0.00273463294424224	0.0079029294565476	0.003 (-0.003-0.008)	male
0.5	0.55	-0.00283243145743968	0.00530787439806849	-0.00814030585550817	0.00247544294062881	-0.003 (-0.008-0.002)	male
0.55	0.6	0.00149094487110001	0.00532569841716834	-0.00383475354606833	0.00681664328826835	0.001 (-0.004-0.007)	male
0.6	0.65	0.000909110025468933	0.00537149284430953	-0.00446238281884059	0.00628060286977846	0.001 (-0.004-0.006)	male
0.65	0.7	-0.00435355396414134	0.00526352434536283	-0.00961707830950417	0.000909970381221494	-0.004 (-0.010-0.001)	male
0.7	0.75	0.00321324011639537	0.00534786370632393	-0.00213462358992856	0.00856110382271931	0.003 (-0.002-0.009)	male
0.75	0.8	-0.00695774947026507	0.00534413827369021	-0.0123018877439553	-0.00161361119657486	-0.007 (-0.012--0.002)	male
0.8	0.85	-0.00643702414890673	0.00505606234261817	-0.0114930864915249	-0.00138096180628857	-0.006 (-0.011--0.001)	male
0.85	0.9	-0.0066396356778629	0.00549476182126995	-0.0121343974991329	-0.00114487385659295	-0.007 (-0.012--0.001)	male
0.9	0.95	0.00241010874150825	0.00540333616118119	-0.00299322741967294	0.00781344490268944	0.002 (-0.003-0.008)	male
0.95	0.99	-0.00777498616984445	0.00612381353739616	-0.0138987997072406	-0.00165117263244829	-0.008 (-0.014--0.002)	male
0.99	1	-0.0208903727907611	0.011972162566153	-0.0328625353569141	-0.00891821022460802	-0.021 (-0.033--0.009)	male
