l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0806052836224558	0.00734879586207772	0.0732564877603781	0.0879540794845335	0.081 (0.073-0.088)	combined
0.01	0.05	0.0570399665366132	0.0041287474344358	0.0529112191021774	0.061168713971049	0.057 (0.053-0.061)	combined
0.05	0.1	0.0384120531147851	0.00368857627672976	0.0347234768380554	0.0421006293915149	0.038 (0.035-0.042)	combined
0.1	0.15	0.0304779027777492	0.00362886895326397	0.0268490338244852	0.0341067717310131	0.030 (0.027-0.034)	combined
0.15	0.2	0.0277976557024547	0.00377088076116932	0.0240267749412854	0.0315685364636241	0.028 (0.024-0.032)	combined
0.2	0.25	0.032219785985678	0.00375843863221871	0.0284613473534593	0.0359782246178968	0.032 (0.028-0.036)	combined
0.25	0.3	0.0178614981183706	0.00375300668905287	0.0141084914293178	0.0216145048074235	0.018 (0.014-0.022)	combined
0.3	0.35	0.014916745700648	0.00354916770404274	0.0113675779966052	0.0184659134046907	0.015 (0.011-0.018)	combined
0.35	0.4	0.00548822822360882	0.00387212075981969	0.00161610746378913	0.00936034898342851	0.005 (0.002-0.009)	combined
0.4	0.45	0.00506628003690097	0.00391484445301136	0.00115143558388961	0.00898112448991233	0.005 (0.001-0.009)	combined
0.45	0.5	0.00285917515662453	0.00376076747682218	-0.000901592320197647	0.00661994263344671	0.003 (-0.001-0.007)	combined
0.5	0.55	-0.00376980941166387	0.00383678102345517	-0.00760659043511904	6.69716117913054e-05	-0.004 (-0.008-0.000)	combined
0.55	0.6	-0.00738289210998763	0.00356502245769813	-0.0109479145676858	-0.00381786965228949	-0.007 (-0.011--0.004)	combined
0.6	0.65	-0.00360576777286824	0.00349430250128842	-0.00710007027415666	-0.000111465271579822	-0.004 (-0.007--0.000)	combined
0.65	0.7	-0.0115156965269354	0.00374850570164658	-0.015264202228582	-0.00776719082528886	-0.012 (-0.015--0.008)	combined
0.7	0.75	-0.0156915024091759	0.00359804445426091	-0.0192895468634368	-0.012093457954915	-0.016 (-0.019--0.012)	combined
0.75	0.8	-0.023897521215916	0.00374368641619074	-0.0276412076321067	-0.0201538347997252	-0.024 (-0.028--0.020)	combined
0.8	0.85	-0.0242908716643048	0.00367059286336466	-0.0279614645276694	-0.0206202788009401	-0.024 (-0.028--0.021)	combined
0.85	0.9	-0.0361028089715697	0.00382584341386074	-0.0399286523854304	-0.032276965557709	-0.036 (-0.040--0.032)	combined
0.9	0.95	-0.0478192470057284	0.00397677022710771	-0.0517960172328361	-0.0438424767786207	-0.048 (-0.052--0.044)	combined
0.95	0.99	-0.0545326939289718	0.00427427467767028	-0.0588069686066421	-0.0502584192513015	-0.055 (-0.059--0.050)	combined
0.99	1	-0.0736762697870861	0.00796452054286586	-0.081640790329952	-0.0657117492442203	-0.074 (-0.082--0.066)	combined
