l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.121124725637231	0.00716348556224302	0.113961240074988	0.128288211199474	0.121 (0.114-0.128)	male
0.01	0.05	0.081284139790555	0.00412381012831209	0.0771603296622429	0.0854079499188671	0.081 (0.077-0.085)	male
0.05	0.1	0.0645765277092525	0.0035051844513628	0.0610713432578897	0.0680817121606153	0.065 (0.061-0.068)	male
0.1	0.15	0.0493317619018913	0.00367635901558286	0.0456554028863084	0.0530081209174741	0.049 (0.046-0.053)	male
0.15	0.2	0.0388707457630036	0.00336440188385967	0.0355063438791439	0.0422351476468632	0.039 (0.036-0.042)	male
0.2	0.25	0.0353449386353909	0.00371571601256658	0.0316292226228243	0.0390606546479575	0.035 (0.032-0.039)	male
0.25	0.3	0.0247195914572196	0.00373485982579442	0.0209847316314252	0.028454451283014	0.025 (0.021-0.028)	male
0.3	0.35	0.0152125486511873	0.00383693228515349	0.0113756163660338	0.0190494809363408	0.015 (0.011-0.019)	male
0.35	0.4	0.0136430015359632	0.00353531594136605	0.0101076855945972	0.0171783174773293	0.014 (0.010-0.017)	male
0.4	0.45	0.000699979410319898	0.00390821752112442	-0.00320823811080452	0.00460819693144431	0.001 (-0.003-0.005)	male
0.45	0.5	0.010434951307536	0.00371821027646047	0.00671674103107556	0.0141531615839965	0.010 (0.007-0.014)	male
0.5	0.55	-0.00376569009833196	0.00341614430975129	-0.00718183440808325	-0.000349545788580669	-0.004 (-0.007--0.000)	male
0.55	0.6	-0.0041959211494147	0.00366905722486963	-0.00786497837428433	-0.000526863924545067	-0.004 (-0.008--0.001)	male
0.6	0.65	-0.00594419626883765	0.00361703941877145	-0.0095612356876091	-0.0023271568500662	-0.006 (-0.010--0.002)	male
0.65	0.7	-0.0153138472825806	0.0035624528572946	-0.0188763001398752	-0.011751394425286	-0.015 (-0.019--0.012)	male
0.7	0.75	-0.0241031407758582	0.00352122543234277	-0.027624366208201	-0.0205819153435155	-0.024 (-0.028--0.021)	male
0.75	0.8	-0.0234699008159272	0.0035232582245669	-0.0269931590404941	-0.0199466425913603	-0.023 (-0.027--0.020)	male
0.8	0.85	-0.0417800154391559	0.0034314666545165	-0.0452114820936724	-0.0383485487846394	-0.042 (-0.045--0.038)	male
0.85	0.9	-0.059498147376786	0.00378068628522244	-0.0632788336620085	-0.0557174610915636	-0.059 (-0.063--0.056)	male
0.9	0.95	-0.0675822879591729	0.00374492210406817	-0.0713272100632411	-0.0638373658551047	-0.068 (-0.071--0.064)	male
0.95	0.99	-0.0817227600958648	0.00408965622902522	-0.08581241632489	-0.0776331038668396	-0.082 (-0.086--0.078)	male
0.99	1	-0.132993195696357	0.00782481644614942	-0.140818012142507	-0.125168379250208	-0.133 (-0.141--0.125)	male
