l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0665786774436072	0.0114041433714582	0.055174534072149	0.0779828208150653	0.067 (0.055-0.078)	combined
0.01	0.05	0.0441614140786785	0.00565309585412622	0.0385083182245523	0.0498145099328047	0.044 (0.039-0.050)	combined
0.05	0.1	0.0407490025303777	0.00513019970711101	0.0356188028232667	0.0458792022374887	0.041 (0.036-0.046)	combined
0.1	0.15	0.0315275330987631	0.0052085657471143	0.0263189673516488	0.0367360988458774	0.032 (0.026-0.037)	combined
0.15	0.2	0.032364617639326	0.00528420580373062	0.0270804118355954	0.0376488234430566	0.032 (0.027-0.038)	combined
0.2	0.25	0.0247321464682081	0.00535078615392707	0.019381360314281	0.0300829326221352	0.025 (0.019-0.030)	combined
0.25	0.3	0.0214669615349256	0.00521952830543307	0.0162474332294925	0.0266864898403586	0.021 (0.016-0.027)	combined
0.3	0.35	0.0155219303687368	0.00518869054894744	0.0103332398197894	0.0207106209176843	0.016 (0.010-0.021)	combined
0.35	0.4	0.00519764468882932	0.00521230586596902	-1.4661177139697e-05	0.0104099505547983	0.005 (-0.000-0.010)	combined
0.4	0.45	0.00467746070061112	0.00518508238902582	-0.000507621688414698	0.00986254308963694	0.005 (-0.001-0.010)	combined
0.45	0.5	0.00913057912932053	0.00523303032089327	0.00389754880842726	0.0143636094502138	0.009 (0.004-0.014)	combined
0.5	0.55	-0.00168657894787842	0.00525460212630821	-0.00694118107418664	0.00356802317842979	-0.002 (-0.007-0.004)	combined
0.55	0.6	-0.00815030481231268	0.00518644861119603	-0.0133367534235087	-0.00296385620111665	-0.008 (-0.013--0.003)	combined
0.6	0.65	-0.010389020652465	0.00514077815441463	-0.0155297988068797	-0.00524824249805041	-0.010 (-0.016--0.005)	combined
0.65	0.7	-0.0132841751834334	0.00525040226673314	-0.0185345774501665	-0.00803377291670022	-0.013 (-0.019--0.008)	combined
0.7	0.75	-0.0194385222447962	0.00527013625927741	-0.0247086585040736	-0.0141683859855188	-0.019 (-0.025--0.014)	combined
0.75	0.8	-0.0159767887227672	0.00538862230076682	-0.021365411023534	-0.0105881664220004	-0.016 (-0.021--0.011)	combined
0.8	0.85	-0.0183733964753108	0.00532733402925937	-0.0237007305045702	-0.0130460624460514	-0.018 (-0.024--0.013)	combined
0.85	0.9	-0.0299960461626221	0.00542173438374079	-0.0354177805463629	-0.0245743117788813	-0.030 (-0.035--0.025)	combined
0.9	0.95	-0.0383755992299987	0.00544855074649806	-0.0438241499764968	-0.0329270484835007	-0.038 (-0.044--0.033)	combined
0.95	0.99	-0.0688051638892861	0.00573638289153499	-0.0745415467808211	-0.0630687809977511	-0.069 (-0.075--0.063)	combined
0.99	1	-0.062054723922329	0.0123671027487987	-0.0744218266711278	-0.0496876211735303	-0.062 (-0.074--0.050)	combined
