l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0150654541887299	0.011943890611033	0.0031215635776969	0.0270093447997629	0.015 (0.003-0.027)	male
0.01	0.05	-0.00282723434735576	0.00591744777017125	-0.00874468211752701	0.00309021342281549	-0.003 (-0.009-0.003)	male
0.05	0.1	0.0102326131569255	0.00522069681207989	0.00501191634484564	0.0154533099690054	0.010 (0.005-0.015)	male
0.1	0.15	0.0097883312247024	0.00516312351838807	0.00462520770631434	0.0149514547430905	0.010 (0.005-0.015)	male
0.15	0.2	0.00153602725103654	0.00540894508672765	-0.00387291783569111	0.00694497233776419	0.002 (-0.004-0.007)	male
0.2	0.25	0.00774199868405958	0.00547750381557065	0.00226449486848893	0.0132195024996302	0.008 (0.002-0.013)	male
0.25	0.3	0.0103365766999481	0.00539306647685533	0.00494351022309274	0.0157296431768034	0.010 (0.005-0.016)	male
0.3	0.35	0.00844470497518354	0.00527738556552967	0.00316731940965388	0.0137220905407132	0.008 (0.003-0.014)	male
0.35	0.4	0.000463526063541455	0.0052104819227881	-0.00474695585924664	0.00567400798632955	0.000 (-0.005-0.006)	male
0.4	0.45	-0.00154923127584934	0.00534835128740469	-0.00689758256325403	0.00379912001155536	-0.002 (-0.007-0.004)	male
0.45	0.5	0.00388144045361366	0.00533499543497969	-0.00145355498136603	0.00921643588859334	0.004 (-0.001-0.009)	male
0.5	0.55	-0.00856374032363979	0.0052981538090505	-0.0138618941326903	-0.00326558651458929	-0.009 (-0.014--0.003)	male
0.55	0.6	0.000980000885422011	0.0052039249346189	-0.00422392404919689	0.00618392582004091	0.001 (-0.004-0.006)	male
0.6	0.65	0.00473620769679672	0.00517214672669402	-0.0004359390298973	0.00990835442349074	0.005 (-0.000-0.010)	male
0.65	0.7	-0.000873043382607935	0.00534315547846404	-0.00621619886107197	0.0044701120958561	-0.001 (-0.006-0.004)	male
0.7	0.75	-0.00990908210913905	0.00527295191512193	-0.015182034024261	-0.00463613019401712	-0.010 (-0.015--0.005)	male
0.75	0.8	0.00224024997321417	0.00518243399718018	-0.002942184023966	0.00742268397039435	0.002 (-0.003-0.007)	male
0.8	0.85	-0.00312318059707515	0.00522053513395213	-0.00834371573102728	0.00209735453687698	-0.003 (-0.008-0.002)	male
0.85	0.9	-0.00793964475942697	0.00536874870463919	-0.0133083934640662	-0.00257089605478778	-0.008 (-0.013--0.003)	male
0.9	0.95	-0.0101966927419695	0.00534323089897274	-0.0155399236409422	-0.00485346184299674	-0.010 (-0.016--0.005)	male
0.95	0.99	-0.00494472276069167	0.00605222468147585	-0.0109969474421675	0.00110750192078418	-0.005 (-0.011-0.001)	male
0.99	1	-0.0206205504502181	0.0122244662497599	-0.032845016699978	-0.00839608420045828	-0.021 (-0.033--0.008)	male
