l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0833097189173433	0.00744329562151211	0.0758664232958312	0.0907530145388554	0.083 (0.076-0.091)	combined
0.01	0.05	0.0573298386975288	0.00428328078166144	0.0530465579158674	0.0616131194791903	0.057 (0.053-0.062)	combined
0.05	0.1	0.0386607727435094	0.00349611874078535	0.035164654002724	0.0421568914842947	0.039 (0.035-0.042)	combined
0.1	0.15	0.0304075674454088	0.00364542299705146	0.0267621444483573	0.0340529904424603	0.030 (0.027-0.034)	combined
0.15	0.2	0.033303364303912	0.00370350615717312	0.0295998581467389	0.0370068704610851	0.033 (0.030-0.037)	combined
0.2	0.25	0.0300291651510211	0.003432826078905	0.0265963390721161	0.0334619912299261	0.030 (0.027-0.033)	combined
0.25	0.3	0.0189551017573843	0.00385613969477313	0.0150989620626112	0.0228112414521575	0.019 (0.015-0.023)	combined
0.3	0.35	0.0158091016263608	0.00353961951540227	0.0122694821109586	0.0193487211417631	0.016 (0.012-0.019)	combined
0.35	0.4	0.00760176942908127	0.0038462940192521	0.00375547540982917	0.0114480634483334	0.008 (0.004-0.011)	combined
0.4	0.45	0.0055906582641217	0.00355101135301251	0.00203964691110919	0.00914166961713421	0.006 (0.002-0.009)	combined
0.45	0.5	-0.00252644208170564	0.00385169225836246	-0.0063781343400681	0.00132525017665682	-0.003 (-0.006-0.001)	combined
0.5	0.55	-0.00555261023969213	0.00363520605087251	-0.00918781629056464	-0.00191740418881962	-0.006 (-0.009--0.002)	combined
0.55	0.6	-0.000113650273943327	0.00356843966429523	-0.00368208993823855	0.0034547893903519	-0.000 (-0.004-0.003)	combined
0.6	0.65	-0.0075232908693093	0.00352022732114678	-0.0110435181904561	-0.00400306354816252	-0.008 (-0.011--0.004)	combined
0.65	0.7	-0.0105219273830167	0.00346697458154632	-0.0139889019645631	-0.00705495280147041	-0.011 (-0.014--0.007)	combined
0.7	0.75	-0.0178372500571168	0.00380450474916169	-0.0216417548062785	-0.0140327453079551	-0.018 (-0.022--0.014)	combined
0.75	0.8	-0.0203908678042015	0.0036847161731195	-0.024075583977321	-0.016706151631082	-0.020 (-0.024--0.017)	combined
0.8	0.85	-0.0240616901556477	0.00349550346225518	-0.0275571936179029	-0.0205661866933925	-0.024 (-0.028--0.021)	combined
0.85	0.9	-0.030488073012882	0.00355632208803832	-0.0340443951009204	-0.0269317509248437	-0.030 (-0.034--0.027)	combined
0.9	0.95	-0.0480917976211598	0.00410632797456853	-0.0521981255957283	-0.0439854696465913	-0.048 (-0.052--0.044)	combined
0.95	0.99	-0.0586022178336103	0.0040356806619613	-0.0626378984955716	-0.054566537171649	-0.059 (-0.063--0.055)	combined
0.99	1	-0.0646385953593005	0.0081420219082543	-0.0727806172675548	-0.0564965734510462	-0.065 (-0.073--0.056)	combined
