l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	-0.00328475876880432	0.00777843239086161	-0.0110631911596659	0.00449367362205728	-0.003 (-0.011-0.004)	female
0.01	0.05	0.00538977163062631	0.00415511345554345	0.00123465817508286	0.00954488508616975	0.005 (0.001-0.010)	female
0.05	0.1	0.00192058961298081	0.00384583323988331	-0.0019252436269025	0.00576642285286412	0.002 (-0.002-0.006)	female
0.1	0.15	0.00287470135630251	0.00385113435796454	-0.00097643300166203	0.00672583571426705	0.003 (-0.001-0.007)	female
0.15	0.2	0.0106555248684666	0.00374295714134553	0.00691256772712107	0.0143984820098121	0.011 (0.007-0.014)	female
0.2	0.25	0.00598694188573422	0.00374663130313003	0.00224031058260419	0.00973357318886425	0.006 (0.002-0.010)	female
0.25	0.3	0.00604826172752869	0.0034779165825836	0.0025703451449451	0.00952617831011229	0.006 (0.003-0.010)	female
0.3	0.35	-0.00627161814644021	0.00371615581792267	-0.00998777396436288	-0.00255546232851753	-0.006 (-0.010--0.003)	female
0.35	0.4	0.00773709360456524	0.00365705697551602	0.00408003662904922	0.0113941505800813	0.008 (0.004-0.011)	female
0.4	0.45	-0.00133386715614559	0.00398377546419559	-0.00531764262034118	0.00264990830805	-0.001 (-0.005-0.003)	female
0.45	0.5	0.00127330961443304	0.00363042776757774	-0.00235711815314469	0.00490373738201078	0.001 (-0.002-0.005)	female
0.5	0.55	0.000863269337793525	0.0036422869284892	-0.00277901759069567	0.00450555626628272	0.001 (-0.003-0.005)	female
0.55	0.6	0.0044925821245915	0.00382015224529268	0.00067242987929882	0.00831273436988418	0.004 (0.001-0.008)	female
0.6	0.65	0.00305946154003988	0.00353454274534939	-0.000475081205309509	0.00659400428538927	0.003 (-0.000-0.007)	female
0.65	0.7	-0.00271464596796385	0.00384181836571633	-0.00655646433368019	0.00112717239775248	-0.003 (-0.007-0.001)	female
0.7	0.75	-0.000351353247444291	0.00388548486095809	-0.00423683810840238	0.0035341316135138	-0.000 (-0.004-0.004)	female
0.75	0.8	-0.00678484330952984	0.00385646465767273	-0.0106413079672026	-0.00292837865185711	-0.007 (-0.011--0.003)	female
0.8	0.85	-0.00535236859259683	0.00370378671015959	-0.00905615530275642	-0.00164858188243725	-0.005 (-0.009--0.002)	female
0.85	0.9	-0.00586840978644295	0.00375523241421868	-0.00962364220066163	-0.00211317737222428	-0.006 (-0.010--0.002)	female
0.9	0.95	0.00133383878406283	0.00361908647686436	-0.00228524769280153	0.00495292526092718	0.001 (-0.002-0.005)	female
0.95	0.99	-0.00749109203023461	0.00420061507739373	-0.0116917071076283	-0.00329047695284089	-0.007 (-0.012--0.003)	female
0.99	1	0.00344077249416121	0.00856840783368154	-0.00512763533952033	0.0120091803278427	0.003 (-0.005-0.012)	female
