l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.119571324626285	0.00708005074508272	0.112491273881202	0.126651375371367	0.120 (0.112-0.127)	male
0.01	0.05	0.0855807570755819	0.00379729890272379	0.0817834581728581	0.0893780559783057	0.086 (0.082-0.089)	male
0.05	0.1	0.0648443102699445	0.00367073476548947	0.061173575504455	0.068515045035434	0.065 (0.061-0.069)	male
0.1	0.15	0.0499997195436294	0.00354044445278882	0.0464592750908406	0.0535401639964182	0.050 (0.046-0.054)	male
0.15	0.2	0.0390601162970343	0.0033567001943973	0.035703416102637	0.0424168164914316	0.039 (0.036-0.042)	male
0.2	0.25	0.0337016772039734	0.00366648882282658	0.0300351883811468	0.0373681660268	0.034 (0.030-0.037)	male
0.25	0.3	0.0247869825703682	0.0037569496815313	0.0210300328888369	0.0285439322518995	0.025 (0.021-0.029)	male
0.3	0.35	0.0192690200798516	0.00356691023988763	0.015702109839964	0.0228359303197393	0.019 (0.016-0.023)	male
0.35	0.4	0.0132983677663909	0.00355719561716649	0.00974117214922437	0.0168555633835574	0.013 (0.010-0.017)	male
0.4	0.45	0.00797692878706975	0.00374186623106767	0.00423506255600208	0.0117187950181374	0.008 (0.004-0.012)	male
0.45	0.5	0.00380037942171713	0.00360899134596374	0.000191388075753392	0.00740937076768087	0.004 (0.000-0.007)	male
0.5	0.55	-0.000434597792288484	0.00331633512581123	-0.00375093291809971	0.00288173733352275	-0.000 (-0.004-0.003)	male
0.55	0.6	-0.00245290767801229	0.00383065938659606	-0.00628356706460835	0.00137775170858377	-0.002 (-0.006-0.001)	male
0.6	0.65	-0.0164635106246026	0.00362620119703358	-0.0200897118216362	-0.0128373094275691	-0.016 (-0.020--0.013)	male
0.65	0.7	-0.00940893576796921	0.00321060466705295	-0.0126195404350222	-0.00619833110091627	-0.009 (-0.013--0.006)	male
0.7	0.75	-0.0228125768090323	0.00334977555737656	-0.0261623523664088	-0.0194628012516557	-0.023 (-0.026--0.019)	male
0.75	0.8	-0.031402006133717	0.00341985239729989	-0.0348218585310169	-0.0279821537364171	-0.031 (-0.035--0.028)	male
0.8	0.85	-0.0364002269744562	0.00368822638305246	-0.0400884533575087	-0.0327120005914038	-0.036 (-0.040--0.033)	male
0.85	0.9	-0.0529239560459863	0.00366955770817841	-0.0565935137541647	-0.0492543983378079	-0.053 (-0.057--0.049)	male
0.9	0.95	-0.0700030279878589	0.00354114163357707	-0.073544169621436	-0.0664618863542818	-0.070 (-0.074--0.066)	male
0.95	0.99	-0.0818564573272825	0.00405124543314563	-0.0859077027604281	-0.0778052118941368	-0.082 (-0.086--0.078)	male
0.99	1	-0.126599544450278	0.00755356293363324	-0.134153107383912	-0.119045981516645	-0.127 (-0.134--0.119)	male
