l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0677936368887878	0.0113031660059974	0.0564904708827903	0.0790968028947852	0.068 (0.056-0.079)	combined
0.01	0.05	0.0394144775428897	0.00583539083971125	0.0335790867031785	0.045249868382601	0.039 (0.034-0.045)	combined
0.05	0.1	0.0482694119355574	0.00522506005507382	0.0430443518804836	0.0534944719906312	0.048 (0.043-0.053)	combined
0.1	0.15	0.0298553276971535	0.00533494624827529	0.0245203814488783	0.0351902739454288	0.030 (0.025-0.035)	combined
0.15	0.2	0.0287168066353736	0.0054172055231078	0.0232996011122658	0.0341340121584814	0.029 (0.023-0.034)	combined
0.2	0.25	0.022901662638516	0.00515302120759632	0.0177486414309197	0.0280546838461123	0.023 (0.018-0.028)	combined
0.25	0.3	0.0270272003947222	0.00538124592668088	0.0216459544680414	0.0324084463214031	0.027 (0.022-0.032)	combined
0.3	0.35	0.0107532388173265	0.0052007277093255	0.00555251110800099	0.015953966526652	0.011 (0.006-0.016)	combined
0.35	0.4	0.00648731197850709	0.00537186847308924	0.00111544350541785	0.0118591804515963	0.006 (0.001-0.012)	combined
0.4	0.45	0.010265504137929	0.00514313682417305	0.00512236731375591	0.015408640962102	0.010 (0.005-0.015)	combined
0.45	0.5	0.000866272350806989	0.0052551740292206	-0.00438890167841361	0.00612144638002759	0.001 (-0.004-0.006)	combined
0.5	0.55	0.0082951671410508	0.00525157910965712	0.00304358803139368	0.0135467462507079	0.008 (0.003-0.014)	combined
0.55	0.6	-0.0094300474608946	0.00532350815695582	-0.0147535556178504	-0.00410653930393879	-0.009 (-0.015--0.004)	combined
0.6	0.65	-0.0109633382813055	0.00535329111315927	-0.0163166293944648	-0.00561004716814623	-0.011 (-0.016--0.006)	combined
0.65	0.7	-0.0204593411148665	0.00530765431254577	-0.0257669954274123	-0.0151516868023207	-0.020 (-0.026--0.015)	combined
0.7	0.75	-0.00619586393967992	0.00528252882935873	-0.0114783927690387	-0.00091333511032119	-0.006 (-0.011--0.001)	combined
0.75	0.8	-0.019769437449247	0.0054742827518838	-0.0252437202011308	-0.0142951546973632	-0.020 (-0.025--0.014)	combined
0.8	0.85	-0.0203047168839713	0.00547942244862006	-0.0257841393325914	-0.0148252944353512	-0.020 (-0.026--0.015)	combined
0.85	0.9	-0.0261950755598116	0.00550226376396726	-0.0316973393237789	-0.0206928117958444	-0.026 (-0.032--0.021)	combined
0.9	0.95	-0.0402602061848696	0.00537244432675997	-0.0456326505116296	-0.0348877618581096	-0.040 (-0.046--0.035)	combined
0.95	0.99	-0.0672853135559453	0.0058154171203939	-0.0731007306763392	-0.0614698964355514	-0.067 (-0.073--0.061)	combined
0.99	1	-0.0579999614389745	0.0124697014182414	-0.0704696628572159	-0.0455302600207331	-0.058 (-0.070--0.046)	combined
