l_bin	u_bin	mean	std_err	l_err	u_err	mean_str	PRS_type
0	0.01	0.0988438217997339	0.0104194526040697	0.0884243691956642	0.109263274403804	0.099 (0.088-0.109)	female
0.01	0.05	0.0675274512039752	0.0057627414345404	0.0617647097694348	0.0732901926385156	0.068 (0.062-0.073)	female
0.05	0.1	0.0534211255636539	0.0050821064031937	0.0483390191604602	0.0585032319668476	0.053 (0.048-0.059)	female
0.1	0.15	0.04647348706843	0.00493626907842501	0.041537217990005	0.0514097561468551	0.046 (0.042-0.051)	female
0.15	0.2	0.0400073161568883	0.00528656537876824	0.03472075077812	0.0452938815356565	0.040 (0.035-0.045)	female
0.2	0.25	0.0338246558933317	0.00510665478545117	0.0287180011078805	0.0389313106787828	0.034 (0.029-0.039)	female
0.25	0.3	0.0220000726356106	0.00517862065961605	0.0168214519759945	0.0271786932952266	0.022 (0.017-0.027)	female
0.3	0.35	0.0177813701539358	0.00532007302073853	0.0124612971331973	0.0231014431746743	0.018 (0.012-0.023)	female
0.35	0.4	0.0105882330836465	0.00515596232390296	0.00543227075974356	0.0157441954075495	0.011 (0.005-0.016)	female
0.4	0.45	0.0064103452897945	0.00524731859184941	0.00116302669794509	0.0116576638816439	0.006 (0.001-0.012)	female
0.45	0.5	-0.00256043801418193	0.00511456563286376	-0.0076750036470457	0.00255412761868183	-0.003 (-0.008-0.003)	female
0.5	0.55	0.000206503682751786	0.00525317230677932	-0.00504666862402753	0.0054596759895311	0.000 (-0.005-0.005)	female
0.55	0.6	-0.0063756591264656	0.00523319289294156	-0.0116088520194072	-0.00114246623352404	-0.006 (-0.012--0.001)	female
0.6	0.65	-0.00736362030343736	0.00514936700600489	-0.0125129873094423	-0.00221425329743247	-0.007 (-0.013--0.002)	female
0.65	0.7	-0.0164067164445143	0.00530619331254088	-0.0217129097570551	-0.0111005231319734	-0.016 (-0.022--0.011)	female
0.7	0.75	-0.0228058728113902	0.00521715451409512	-0.0280230273254853	-0.0175887182972951	-0.023 (-0.028--0.018)	female
0.75	0.8	-0.0300243556505611	0.00528148347739025	-0.0353058391279514	-0.0247428721731709	-0.030 (-0.035--0.025)	female
0.8	0.85	-0.0345089534171715	0.00514291501573285	-0.0396518684329043	-0.0293660384014386	-0.035 (-0.040--0.029)	female
0.85	0.9	-0.0540509098284953	0.00535911584088588	-0.0594100256693812	-0.0486917939876094	-0.054 (-0.059--0.049)	female
0.9	0.95	-0.0503972263095203	0.00552232883620485	-0.0559195551457252	-0.0448748974733155	-0.050 (-0.056--0.045)	female
0.95	0.99	-0.065709050346835	0.00580883528077825	-0.0715178856276133	-0.0599002150660568	-0.066 (-0.072--0.060)	female
0.99	1	-0.0826787823062956	0.0120160477307737	-0.0946948300370693	-0.070662734575522	-0.083 (-0.095--0.071)	female
